price,beds,baths,prop_type,address,link
1850,1,1,Apartment,"Apartment  7, 25 North Circular Road, North Circular Road, Dublin 7",N/A
4400,5,3,House,"Kismet, 14 Woodlawn View, Coolock, Dublin 17",N/A
1451,1,1,Apartment,"Apartment 3, 25 Richmond Hill, Rathmines, Dublin 6",N/A
2083,1,1,Apartment,"Bushy Park House, Terenure, Dublin 6W",N/A
5200,2,2,Apartment,"Herbert Park Lane, Ballsbridge, Dublin 4",N/A
5200,2,2,Apartment,"Herbert Park Lane, Ballsbridge, Dublin 4",N/A
3350,4,1,House,"Shanard Road, Santry, Dublin 9",N/A
1371,2,2,Apartment,"Apartment 80, Block B, Áras Na Cluaine, Clondalkin, Dublin 22",N/A
2667,2,1,House,"1 The Grove, Beach Avenue, Sandymount, Dublin 4",N/A
2277,2,2,Apartment,"Avoca Hall, Avoca Park, Blackrock, Co. Dublin, Blackrock, Co. Dublin",N/A
5500,3,2,House,"2 Morehampton Terrace, Donnybrook, Dublin 4",N/A
4900,4,2,House,"57 Herbert Lane, Dublin 2",N/A
2750,2,1,Apartment,"IFSC, Dublin 1",N/A
1800,1,1,House,"Eugene Street, Dublin 8",N/A
3200,2,2,Apartment,"Adelaide Square, Whitefriar Street, Dublin 2",N/A
978,0,0,Studio,"Leinster Road, Dublin 6",N/A
2537,3,2,Apartment,"Trimbleston, Goatstown, Dublin 14",N/A
3700,3,2,House,"Seafort Parade, Blackrock, Booterstown, Co. Dublin",N/A
1564,1,1,Apartment,"Apartment 43, Cranford Court, Stillorgan Road, Donnybrook, Dublin 4",N/A
1600,0,0,Studio,"37 Herberton Park, Dublin 8, Rialto, Dublin 8",N/A
1730,1,1,Apartment,"Apartment 2, 72 South Circular Road, Portobello, Dublin 8",N/A
1875,1,1,Apartment,"37 Herberton Park, Dublin 8, Rialto, Dublin 8",N/A
2200,2,1,Apartment,"45 Seapark, Dollymount, Dublin 3",N/A
3800,3,2,House,"Bridgewater Quay, Islandbridge, Dublin 8",N/A
1850,1,1,Apartment,"Apt 1, Cassell House, Ardilaun Court, D08 C671, Dublin 8",N/A
5250,3,2,Apartment,"Laburnum, Hazeldene, Anglesea Road, Ballsbridge, Dublin 4",N/A
4000,2,2,Apartment,"Castlepark Close Dalkey. Co Dublin, Dalkey, Co. Dublin",N/A
3296,2,2,Apartment,"The Pines, Herbert Park Lane Apartments, Ballsbridge, Dublin 4",N/A
2400,1,1,Apartment,"Avoca Hall, Avoca Park, Blackrock, Co. Dublin",N/A
5000,2,2,Apartment,"Penthoouse Apartment,  The Pines, Herbert Park Lane, Ballsbridge, Dublin 4",N/A
4000,2,1,House,"Baggot Lane, Dublin 4, Ballsbridge, Dublin 4",N/A
2950,3,1,House,"Rinn Na Mara, Doyles Lane, Off, Clontarf, Dublin 3",N/A
5965,3,3,Apartment,"Prestigious Penthouse Castlepark Road Dalkey, Co. Dublin, Dalkey, Co. Dublin",N/A
1737,2,2,Apartment,"22 Tyrconnell Place , Inchicore, Dublin 8",N/A
1750,1,1,Apartment,"Apt 46, Clifden Court, D07 DK70, Dublin 7",N/A
1750,1,1,Apartment,"Gardiner  place , Dublin 1",N/A
8500,4,2,House,"157 Merrion Road, Ballsbridge, Dublin 4",N/A
2750,1,1,Apartment,"Apartment 8, Convent Hall, Convent Avenue, Mount Saint Annes, Milltown, Dublin 6",N/A
1485,1,1,Apartment,"Newbridge Avenue, Sandymount, Sandymount, Dublin 4",N/A
3300,1,1,Apartment,"The Gardens, Merrion, Dublin 4",N/A
1787,1,1,Apartment,"Apartment on Amiens Street, Dublin 1",N/A
3500,3,3,House,"Shanliss Walk, Dublin 9, Santry, Dublin 9",N/A
2405,3,1,House,"Beaumont Road, Beaumont, Dublin 9",N/A
2121,3,1,House,"Ard Mor Avenue, Tallaght, Dublin 24",N/A
2700,3,2,Apartment,"Apartment  The Oval, Cabinteely, Dublin 18",N/A
1727,1,1,Apartment,"Chandlers Guild James Street, Dublin 8",N/A
1787,1,1,Apartment,"Apartment on Amiens Street, Dublin 1",N/A
3400,3,3,House,"Newtown Cottages,Malahide Road, Coolock, Dublin 17",N/A
1950,1,1,Apartment,"Riverbank House, Dublin 8",N/A
2600,2,2,Apartment,"Apartment 14, The Holly, Rockfield, Kilmacud, Co. Dublin",N/A
5500,2,1,House,"military road killiney , Killiney, Co. Dublin",N/A
2350,2,1,House,"Church Terrace, Dublin 7, Smithfield, Dublin 7",N/A
4072,3,2,House,"Oatlands Manor, Mount Merrion, Mount Merrion, Co. Dublin",N/A
2000,1,1,Apartment,"Apartment, 24 Northumberland Road, Ballsbridge, Dublin 4",N/A
1460,1,1,Apartment,"Apartment 47, Hampton Wood Road, Poppintree, Dublin 11",N/A
2000,1,1,Apartment,"Frascati Hall, Sweetman's Avenue, Blackrock, Co. Dublin",N/A
2038,1,1,Apartment,"Larkfield, Clayfarm, Leopardstown, Co. Dublin",N/A
1998,1,1,Apartment,"The Edges, Beacon South Quarter, Sandyford, Dublin 18",N/A
3823,4,2,House,"Castle Walk, Cherrywood, Co. Dublin",N/A
1500,1,1,Apartment,"48 Charleville Ave, Dublin 1",N/A
3400,2,1,Apartment,"Penthouse, 13 St. Stephen's Green, Dublin 2",N/A
1750,1,1,Apartment,"Tallaght Cross West, Tallaght, Dublin 24",N/A
4100,4,3,House,"6 The Green, Beaumont Woods, Beaumont, Dublin 9",N/A
1550,1,1,Apartment,"Orchard Way, Dublin 13, Ayrfield, Dublin 13",N/A
3200,2,1,Apartment,"Raglan Road, Ballsbridge",N/A
